"","X1","PL","Team","Total Time","Avg. Time","Score","1","2","3","4","5","6","7","Region"
"1",1,1,"Johns Hopkins",01:50:39,22:07:00,125,13,16,18,27,51,80,87,"Mideast"
"2",2,2,"Washington U.",01:50:44,22:08:00,138,5,14,30,42,47,105,NA,"Midwest"
"3",3,3,"Williams",01:51:36,22:19:00,168,17,22,36,44,49,66,121,"New England"
"4",4,4,"U. of Chicago",01:52:13,22:26:00,208,12,32,35,58,71,83,102,"Midwest"
"5",5,5,"Carleton",01:52:08,22:25:00,210,9,23,53,61,64,114,123,"Central"
"6",6,6,"Wartburg",01:52:12,22:26:00,219,7,28,50,52,82,136,164,"Central"
"7",7,7,"MIT",01:52:02,22:24:00,252,6,11,46,77,112,169,215,"New England"
"8",8,8,"Tufts",01:52:40,22:32:00,310,4,21,43,107,135,142,187,"New England"
"9",9,9,"Dickinson",01:53:09,22:37:00,332,3,38,48,78,165,174,190,"Mideast"
"10",10,10,"SUNY Geneseo",01:53:24,22:40:00,360,2,59,89,91,119,148,192,"Atlantic"
"11",11,11,"Oberlin",01:54:22,22:52:00,366,31,65,69,84,117,156,216,"Great Lakes"
"12",12,12,"Pomona-Pitzer",01:53:09,22:37:00,366,8,10,101,110,137,163,214,"West"
"13",13,13,"RPI",01:54:24,22:52:00,384,33,41,67,92,151,157,159,"Atlantic"
"14",14,14,"Bates",01:54:23,22:52:00,388,37,39,81,86,145,147,194,"New England"
"15",15,15,"Middlebury",01:54:24,22:52:00,406,20,40,88,90,168,178,184,"New England"
"16",16,16,"Baldwin Wallace",01:54:29,22:53:00,409,24,45,76,120,144,175,220,"Great Lakes"
"17",17,17,"Wis.-Eau Claire",01:54:46,22:57:00,434,25,54,75,139,141,153,179,"Midwest"
"18",18,18,"Rochester",01:55:13,23:02:00,440,55,56,74,97,158,210,221,"Atlantic"
"19",19,19,"Wis.-La Crosse",01:55:15,23:03:00,444,57,68,100,106,113,128,129,"Midwest"
"20",20,20,"Claremont-Mudd-Scripps",01:54:56,22:59:00,449,26,63,95,125,140,176,201,"West"
"21",21,21,"John Carroll",01:55:15,23:03:00,474,29,85,99,127,134,161,185,"Great Lakes"
"22",22,22,"Emory",01:56:20,23:16:00,567,70,94,111,138,154,203,211,"South"
"23",23,23,"Wesleyan",01:56:23,23:16:00,569,79,93,118,124,155,173,207,"New England"
"24",24,24,"Carnegie Mellon",01:56:20,23:16:00,572,62,96,131,133,150,177,206,"Mideast"
"25",25,25,"Vassar",01:56:15,23:15:00,573,34,98,122,152,167,209,212,"Atlantic"
"26",26,26,"Ithaca",01:55:48,23:09:00,609,1,104,132,181,191,199,204,"Atlantic"
"27",27,27,"Hope",01:57:00,23:24:00,643,19,103,149,172,200,202,219,"Great Lakes"
"28",28,28,"Allegheny",01:57:05,23:25:00,682,15,143,170,171,183,205,208,"Great Lakes"
"29",29,29,"Washington and Lee",01:57:40,23:32:00,695,109,116,126,162,182,196,NA,"South"
"30",30,30,"RIT",01:57:59,23:35:00,698,60,115,146,188,189,217,218,"Atlantic"
"31",31,31,"Calvin",01:58:13,23:38:00,717,72,108,160,180,197,198,222,"Great Lakes"
"32",32,32,"Centre",01:58:34,23:42:00,748,73,130,166,186,193,195,213,"South"
